,Song ID,asset_id,Title,songtrust_composer,youtube_writers
13,2437195,A124776412801000,#1,SCAPA/NORRIS/FASSE,FASSE JOHN;NORRIS MADISON;SCAPA NICOLAS
26,3137337,A151484020336810,#1 BUM,SCHELLENBACH/CUNNIFF/GLASER,CUNNIFF JILL;GLASER GABRIELLE;SCHELLENBACH KATHERINE
27,58989,A151484020336810,#1 BUM,SCHELLENBACH/GLASER/CUNNIFF,CUNNIFF JILL;GLASER GABRIELLE;SCHELLENBACH KATHERINE
28,2281755,A574418165589868,$TACKS,LOPEZ,LOPEZ
46,2232275,A138977090781813,(GUITAR SOLO),HAYS,HAYS JENNIFER
47,2494433,A829208928218113,(HEILENDEMUSIK) TAG UND NACHT MEDITATION,"TRIVELLATO, GIORDANO","GIORDANO TRIVELLATO, SACCHETTO GIULIANO"
56,3022184,A120940344568984,(INTRO) ALL LOVE LOST,SALGADO/BUDDEN/CARR,BUDDEN J/CARR J/SALGADO E
57,2372759,A847505505303500,(THIS IS WHY) I CAN'T WEAR WHITE,WASNER,JENNIFER WASNER
66,2494428,A173539388526311,...AND THE BEAST,"TRIVELLATO, GIORDANO","GIORDANO TRIVELLATO, GIULIANO SACCHETTO, TOBACCO MUSIC EDITION"
79,6780,A525897617479077,09 RAP UP,BAKER/LEWIS/SCOTT,DONNIE LEWIS;DUSTIN JERELL SCOTT;RAYMOND SIDNEY BAKER II
166,2184914,A922808935582290,1 BAD BITCH,LLOYD/NEVILLE/MORGAN,OJ MORGAN;SOPHIE LLOYD;TOM NEVILLE
472,783448,A469601549196140,100 BARS,"COX, STANLEY",COX STANLEY
476,3206230,A911008919227217,100 BOTELLAS,"ORTIZ URIAS, RICARDO",RICARDO DANIEL ORTIZ URIAS
481,2198987,A132458914150415,100 LIKES,ENTERTAINMENT/WILLIAMS,DERRICK WILLIAMS;RUN RUN CHEWY ENTERTAINMENT
505,3069858,A921472993193124,100 MILES,FURGIUELE/FURGIUELE,NICHOLAS EDWIN FURGIUELE;PETER ALEXANDER FURGIUELE
523,3018513,A139428378747723,100 TRAFICANTE,"ONTIVEROS, JOSE",JOSE  ONTIVEROS
526,2484761,A967095194087276,100 YEAR THING,"STILLS, CHRIS",CHRIS STILLS
